 ,Angle,Length
1,180,20.514
2,0,35.244
3,0,35.398
4,0,35.321
5,0,35.321
6,0,35.347
7,0,35.321
8,0,35.244
9,0,35.244
10,0,35.013
11,0,34.704
12,0,34.113
13,0,33.599
14,0,33.008
15,0,32.391
16,0,31.851
17,0,31.260
18,0,30.694
19,0,30.129
20,0,29.589
21,0,29.049
22,0,28.483
23,0,27.969
24,0,27.506
25,0,26.992
26,0,26.452
27,0,26.015
28,0,25.578
29,0,25.090
30,0,24.602
31,0,24.242
32,0,23.830
33,0,23.445
34,0,23.085
35,0,22.622
36,0,22.314
37,0,21.915
38,0,21.620
39,0,21.260
40,0,20.900
41,0,20.668
42,0,20.308
43,0,19.871
44,0,19.692
45,0,19.409
46,0,19.152
47,0,18.843
48,0,18.560
49,0,18.252
50,0,18.021
51,0,17.866
52,0,17.609
